Date,Total P&L
2021-06-30,-1189.8850000000002
2021-07-01,-1187.0750000000003
2021-07-02,-1184.5500000000002
2021-07-05,-1189.1499999999999
2021-07-06,-1192.54
2021-07-07,-1189.64
2021-07-08,-138.42000000002736
2021-07-09,-1183.825
2021-07-12,-2033.2399999999818
2021-07-13,-1188.15
2021-07-14,-1190.06
2021-07-15,-1193.9250000000002
2021-07-16,-1197.39
2021-07-19,-1188.7849999999999
2021-07-20,-1865.1650000000182
2021-07-22,-1186.9749999999995
2021-07-23,-1192.99
2021-07-26,-1190.6399999999999
2021-07-27,-618.79
2021-07-28,-4449.095000000009
2021-07-29,-1188.8400000000001
2021-07-30,-1189.87
2021-08-02,-1192.65
2021-08-03,1656.3250000000094
2021-08-04,-1211.49
2021-08-05,-1213.9899999999998
2021-08-06,-1215.6049999999998
2021-08-09,-3042.250000000009
2021-08-10,-1214.8850000000002
2021-08-11,-2663.8499999999913
2021-08-12,-1216.225
2021-08-13,-872.8299999999635
2021-08-16,-1225.3050000000003
2021-08-17,-1226.4650000000001
2021-08-18,-1110.8700000000545
2021-08-20,-1221.19
2021-08-23,-1923.299999999982
2021-08-24,-1851.9700000000003
2021-08-25,-1233.3200000000002
2021-08-26,-1231.1299999999999
2021-08-27,-1231.0349999999999
2021-08-30,-405.2949999999637
2021-08-31,466.6100000000547
2021-09-01,-1096.0099999999993
2021-09-02,-572.2550000000183
2021-09-03,-1264.4500000000003
2021-09-06,-1269.91
2021-09-07,-2674.9999999999272
2021-09-08,-1267.5
2021-09-09,-1267.3650000000002
2021-09-13,-1266.395
2021-09-14,-1270.4450000000002
2021-09-15,-662.3000000000184
2021-09-16,-1278.36
2021-09-17,-306.0850000000728
2021-09-20,-6056.249999999982
2021-09-21,-6441.089999999927
2021-09-22,-1277.905
2021-09-23,224.33499999998185
2021-09-24,-1773.7450000000551
2021-09-27,-2420.3999999999996
2021-09-28,-456.5799999999999
2021-09-29,-1666.4600000000364
